"One of us snores","Frequent bathroom","Sick","No longer physically intimate","prefer different room temperature","Argument or fight","Not enough space","Dont want to share the covers","Sleep with child","Different sleep time","att20","Hypothesis 1","Hypothesis 2","Hypothesis 3","Age","StartDate","EndDate","Which of the following best describes your current relationship status?","How long have you been in your current relationship? If you are not currently in a relationship, please answer according to your last relationship.","When both you and your partner are at home, how often do you sleep in separate beds?","When you're not sleeping in the same bed as your partner, where do you typically sleep?","att7","When you're not sleeping in the same bed, where does your partner typically sleep?","att9","When was the first time you slept in separate beds?","Which of the following best describes your current occupation?","att26","Gender","Household Income","Education","Location (Census Region)"
"One of us snores","One of us makes frequent bathroom trips in the night","One of us is sick","We are no longer physically intimate","We have different temperature preferences for the room","We've had an argument or fight","Not enough space","Do not want to share the covers","One of us needs to sleep with a child","Night working/very different sleeping times","Other (please specify)","Response","Response","Response","Response",,,"Response","Response","Response","Response","Other (please specify)","Response","Other (please specify)","Response","Response","Other (please specify)","Response","Response","Response","Response"
"-","-","One of us is sick","-","-","-","-","-","-","-","Other (please specify)","Strongly disagree","Somewhat agree","Strongly disagree","18-29",10/7/14 6:37 PM,10/7/14 6:39 PM,"Single, but cohabiting with a significant other","1-5 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Other (please specify)","Student","Male","$0 - $24,999","Some college or Associate degree","Pacific"
"One of us snores","One of us makes frequent bathroom trips in the night","One of us is sick","-","-","We've had an argument or fight","-","Do not want to share the covers","-","-","-","Somewhat agree","Strongly agree","Strongly disagree","18-29",10/7/14 3:54 PM,10/7/14 3:56 PM,"Single, but cohabiting with a significant other","1-5 years","A few times per month","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"Separate bedroom",,"Immediately/ We've always slept in separate beds","Healthcare Support Occupations",,"Male",,"Bachelor degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",10/7/14 3:44 PM,10/7/14 3:49 PM,"Married","1-5 years","Never",,,,,,"Legal Occupations",,"Male","$150,000+","Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",10/7/14 1:47 PM,10/7/14 1:47 PM,"Married","1-5 years","Never",,,,,,"Life, Physical, and Social Science Occupations",,"Male","$25,000 - $49,999","Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",10/7/14 1:13 PM,10/7/14 1:14 PM,"Married","1-5 years","Never",,,,,,"Office and Administrative Support Occupations",,"Male","$100,000 - $149,999","Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",10/7/14 4:29 AM,10/7/14 4:30 AM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Male","$0 - $24,999","High school degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",10/7/14 2:44 AM,10/7/14 2:44 AM,"Single, but cohabiting with a significant other","Less than 1 year","Every night",,,,,,,,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",10/7/14 2:02 AM,10/7/14 2:03 AM,"Married","More than 20 years","Never",,,,,,"Healthcare Practitioners and Technical Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",10/7/14 1:41 AM,10/7/14 1:43 AM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Technology Consultant","Male",,"Graduate degree","Mountain"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 8:01 PM,10/7/14 12:47 AM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","retired","Female","$25,000 - $49,999","High school degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",10/7/14 12:19 AM,10/7/14 12:20 AM,"Single, but cohabiting with a significant other","6-10 years","Never",,,,,,"Building and Grounds Cleaning and Maintenance Occupations",,"Male","$25,000 - $49,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 11:44 PM,9/7/14 11:44 PM,"Married","16-20 years","Never",,,,,,"Protective Service Occupations",,"Male","$50,000 - $99,999","Bachelor degree","South Atlantic"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","30-44",9/7/14 11:42 PM,9/7/14 11:45 PM,"Married","6-10 years","Once a month or less","On the couch/chair",,"Separate bedroom",,"Within 6-10 years of our relationship","Arts, Design, Entertainment, Sports, and Media Occupations",,"Male","$100,000 - $149,999","Bachelor degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 11:41 PM,9/7/14 11:42 PM,"Married","6-10 years","Never",,,,,,"Business and Financial Operations Occupations",,"Male","$100,000 - $149,999","Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 11:39 PM,9/7/14 11:40 PM,"Married","More than 20 years","Never",,,,,,"Healthcare Practitioners and Technical Occupations",,"Male","$100,000 - $149,999","Some college or Associate degree","New England"
"-","-","-","-","We have different temperature preferences for the room","-","-","-","-","-","Other (please specify)","Strongly agree","Strongly agree","Somewhat agree","30-44",9/7/14 11:38 PM,9/7/14 11:42 PM,"Married","16-20 years","A few times per week","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 11-15 years of our relationship","Healthcare Practitioners and Technical Occupations",,"Male","$50,000 - $99,999","Graduate degree","Mountain"
"-","-","One of us is sick","-","-","-","-","-","One of us needs to sleep with a child","-","-","Neither agree nor disagree","Somewhat disagree","Strongly disagree","30-44",9/7/14 11:38 PM,9/7/14 11:41 PM,"Married","6-10 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Other (please specify)","fire service","Male","$50,000 - $99,999","Some college or Associate degree","Mountain"
"One of us snores","-","One of us is sick","We are no longer physically intimate","-","-","-","-","-","-","Other (please specify)","Neither agree nor disagree","Somewhat agree","Somewhat disagree","30-44",9/7/14 11:35 PM,9/7/14 11:37 PM,"In a domestic partnership or civil union","1-5 years","A few times per week","Other (please specify)","We alternate, one in main bed, one on couch","Other (please specify)","We alternate, one in main bed, one on couch","Within the first 1-5 years of our relationship","Other (please specify)","Aviation customer service","Male","$100,000 - $149,999","Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 11:35 PM,9/7/14 11:42 PM,"In a domestic partnership or civil union","1-5 years","Never",,,,,,"Installation, Maintenance, and Repair Occupations",,"Male",,"Bachelor degree","Mountain"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 11:33 PM,9/7/14 11:33 PM,"Married","11-15 years","Never",,,,,,"Legal Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 11:32 PM,9/7/14 11:33 PM,"Married","6-10 years","Never",,,,,,"Education, Training, and Library Occupations",,"Male","$50,000 - $99,999","Bachelor degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 11:28 PM,9/7/14 11:30 PM,"Married","11-15 years","Never",,,,,,"Construction and Extraction Occupations",,"Male","$25,000 - $49,999","High school degree","East South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 11:26 PM,9/7/14 11:26 PM,"Married","1-5 years","Never",,,,,,"Construction and Extraction Occupations",,"Male","$50,000 - $99,999","Bachelor degree","Mountain"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 11:24 PM,9/7/14 11:25 PM,"Married","16-20 years","Never",,,,,,"Office and Administrative Support Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 11:24 PM,9/7/14 11:25 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Other (please specify)","n/a","Male",,,"Mountain"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 11:20 PM,9/7/14 11:22 PM,"Married","11-15 years","Never",,,,,,"Other (please specify)","Retired Military","Male","$50,000 - $99,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 11:18 PM,9/7/14 11:19 PM,"In a domestic partnership or civil union","11-15 years","Never",,,,,,"Sales and Related Occupations",,"Male","$100,000 - $149,999","Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 11:14 PM,9/7/14 11:19 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Education, Training, and Library Occupations",,"Male","$50,000 - $99,999","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 11:17 PM,9/7/14 11:18 PM,"Married","6-10 years","Never",,,,,,"Computer and Mathematical Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 11:17 PM,9/7/14 11:17 PM,"Married","1-5 years","Never",,,,,,"Business and Financial Operations Occupations",,"Male","$50,000 - $99,999","Bachelor degree","Mountain"
